GDP,Unemployment,Inflation,InterestRate,Swiss franc/Euro,Euro/Dollar,Euro/Uk,Stoxx50,Property Prices Ger,Property Prices UK,VIX
892370.7566666667,3.318246,101.7,1.88,1.1723,0.88331,1.22,398.4235,126.2463,131.8371,12.171536363636363
890724.3833333333,3.284379,102.2,1.9,1.1542,0.88396,1.2348,380.6017,126.68171556477634,133.08729146349498,21.48082
889078.01,3.253404,103.0,1.94,1.1685,0.88287,1.2336,375.9084,127.16892561973457,133.29846576501052,17.7979
891407.25,3.226459,103.2,1.94,1.189,0.87212,1.2276,383.2679,127.0859,133.3333,15.236925
893736.49,3.206094,104.3,1.96,1.178,0.87726,1.1812,392.25,128.09503636226125,133.6357187385387,14.566295454545456
896065.73,3.189291,104.4,1.95,1.1562,0.87886,1.1678,383.4411,128.5333231242084,133.76661042279565,14.936880952380953
894110.2933333333,3.173499,105.2,1.94,1.1622,0.88726,1.1686,383.8034,128.6006,135.8271,13.757354545454545
892154.8566666667,3.15591,105.2,1.93,1.1413,0.89687,1.1549,382.4587,129.40058883680234,133.98299563512774,14.271491304347826
890199.42,3.137587,105.3,1.92,1.1286,0.89281,1.1659,376.3904,129.80493758966907,134.06910292774862,14.717859999999998
891522.22,3.115204,105.4,1.91,1.1413,0.88272,1.1484,359.0005,130.3818,135.1621,18.838452173913044
892845.02,3.091816,104.2,1.94,1.1377,0.88118,1.1367,351.304,130.61579523951778,134.2259424820098,18.25607727272727
894167.82,3.067181,104.4,1.9,1.1293,0.89774,1.1384,335.2102,131.03035225792772,134.30412081239058,20.732864705882353
896123.22,3.040551,103.4,1.92,1.1297,0.88603,1.1416,340.4645,131.1792,133.6658,17.426186363636365
898078.62,3.010891,103.9,1.84,1.1368,0.87264,1.1351,355.0307,131.84308815096014,134.468151700609,14.44111
900034.02,2.975456,104.4,1.8,1.1311,0.85822,1.1302,365.7233,132.29064255587966,134.5699583655872,14.584661904761905
